domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,0.7,5.21,0.9866,0.9036,0.59,0.32
m_over,16.53,16.64,0.8823,-19.0493,1.23,4.02
m_under,3.65,16.01,0.6639,-1.4196,0.52,0.91
mu_over,2.11,14.16,0.9938,0.7609,0.81,0.8
mu_under,2.29,17.07,0.9552,0.9133,0.54,0.92
m_over_mu_over,16.52,11.68,-1.7126,-121.7161,1.17,13.34
m_under_mu_under,3.89,16.18,-0.5103,-2.6088,0.5,1.61
m_over_mu_under,17.39,24.3,-0.0613,-2.0443,1.44,1.33
m_under_mu_over,3.54,45.49,0.5811,-0.3152,0.86,0.97
