domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,0.67,3.57,0.9955,0.9171,0.61,0.32
m_over,17.54,13.78,0.8774,0.4194,1.43,4.41
m_under,3.53,20.97,0.5682,-0.6964,0.44,0.93
mu_over,2.09,14.09,0.9941,0.8009,0.76,0.71
mu_under,1.94,13.56,0.9637,0.9411,0.54,1.06
m_over_mu_over,18.21,10.54,-2.0225,-0.4838,1.56,13.88
m_under_mu_under,3.62,10.23,-3.43,-1.2898,0.39,1.64
m_over_mu_under,17.25,22.04,0.1637,0.1329,1.27,1.17
m_under_mu_over,3.51,49.35,0.6274,-0.1547,0.8,0.95
