domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,0.6,3.44,0.9969,0.9929,0.43,1.15
m_over,18.88,24.51,0.7882,0.9076,1.47,5.15
m_under,3.61,24.33,0.175,-1.7917,0.52,1.13
mu_over,1.55,10.32,0.9923,0.9186,0.62,1.77
mu_under,1.63,11.95,0.9564,0.9962,0.42,1.29
m_over_mu_over,22.17,5.66,-6.0487,-0.3098,1.91,14.53
m_under_mu_under,3.77,7.73,-15.6828,-3.8356,0.45,1.85
m_over_mu_under,16.44,31.98,0.408,0.6242,1.43,3.11
m_under_mu_over,3.6,53.35,0.6109,-0.6413,0.89,1.05
