domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.06296,2.13,0.02621,6.24,0.9982,0.9202
m_over,0.77311,26.21,0.07654,18.24,0.5518,-2.6653
m_under,0.08468,2.87,0.06194,14.76,0.1288,-0.8169
mu_over,0.0536,1.82,0.04862,11.58,0.992,0.931
mu_under,0.10982,3.72,0.06613,15.76,0.999,0.9505
m_over_mu_over,0.77298,26.2,0.04032,9.61,-2.3903,-15.0555
m_under_mu_under,0.08442,2.86,0.06914,16.47,-2.7641,-0.32
m_over_mu_under,0.91033,30.86,0.14675,34.96,0.884,-28.1653
m_under_mu_over,0.0871,2.95,0.17279,41.17,0.3742,-0.5057
