domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,0.52,2.97,0.9948,0.8214,0.62,0.29
m_over,16.74,15.02,0.8504,-2.8736,1.28,4.38
m_under,3.43,17.69,0.7923,-1.15,0.47,0.86
mu_over,1.65,13.52,0.986,0.5528,0.81,0.72
mu_under,1.63,13.05,0.9713,0.9203,0.53,0.82
m_over_mu_over,17.12,7.43,-3.3467,-4.4769,1.27,13.77
m_under_mu_under,3.6,12.95,0.198,-2.3093,0.45,1.52
m_over_mu_under,16.99,22.09,0.5932,0.4295,1.28,0.94
m_under_mu_over,3.42,48.58,0.5743,-0.1536,0.82,0.99
