domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,1.47,2.64,0.9674,0.8431,0.56,0.32
m_over,18.34,14.16,0.8392,0.4405,1.33,4.45
mu_over,0.99,14.29,0.9738,0.5572,0.85,1.01
mu_under,3.1,13.16,0.8448,0.8749,0.52,1.0
m_over_mu_over,18.09,12.89,-2.2037,0.4816,1.84,14.41
m_over_mu_under,18.62,19.88,0.1167,-10.9957,1.19,1.05
