domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,0.72,4.25,0.9969,0.9633,0.53,1.03
m_over,15.27,16.09,0.7969,-2.2074,1.17,5.19
mu_over,1.92,15.72,0.99,0.8296,0.76,1.59
mu_under,1.78,14.39,0.9916,0.9876,0.53,0.96
m_over_mu_over,15.84,11.09,-3.4386,-41.7858,1.29,14.72
m_over_mu_under,16.29,32.03,-0.0406,0.8037,1.54,2.79
