domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.05308,1.8,0.01834,4.37,-3.823,-1512.2128
m_over,0.28484,9.66,0.05349,12.75,-28.344,-2459.5334
mu_over,0.05361,1.82,0.04534,10.8,-4.6294,-1945.9026
mu_under,0.12347,4.19,0.06027,14.36,-4.267,-571.873
m_over_mu_over,0.10352,3.51,0.06652,15.85,-638.498,-251.4276
m_over_mu_under,0.51279,17.38,0.11695,27.86,-91.9102,-3665.3018
