domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,0.79,2.43,0.9863,0.9454,0.58,1.1
m_over,17.5,17.31,0.6802,-4.0914,1.22,4.84
mu_over,1.47,13.69,0.9638,0.819,0.77,1.84
mu_under,2.06,9.88,0.939,0.9616,0.58,1.14
m_over_mu_over,18.26,4.95,-1.511,-50.0209,1.43,13.81
m_over_mu_under,18.01,20.77,-2.567,-12.5375,1.36,2.85
