domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,3.31,5.26,0.9789,0.9051,0.64,0.33
m_over,9.75,18.17,0.9321,-5.9269,0.93,1.76
mu_over,4.64,14.18,0.9852,0.8144,0.87,1.22
mu_under,3.63,11.71,0.9787,0.907,0.59,1.06
m_over_mu_over,2.68,8.79,-2.1418,-1.4329,1.16,7.59
m_over_mu_under,18.2,29.86,0.741,-52.345,1.01,2.29
