domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.07759,2.63,0.03076,7.33,0.9977,0.895
m_over,0.42346,14.36,0.06842,16.3,0.9845,-2.3725
mu_over,0.05161,1.75,0.05707,13.6,0.9929,0.7986
mu_under,0.16467,5.58,0.10292,24.52,0.9744,0.9648
m_over_mu_over,0.95188,32.27,0.03996,9.52,0.7396,-5.8355
m_over_mu_under,0.54936,18.62,0.13231,31.52,0.7497,-11.5329
