domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,0.73,2.15,0.9885,0.9156,0.67,1.31
m_over,15.83,12.2,0.7897,-6.4813,1.11,5.45
m_under,3.87,21.25,0.8009,-1.1096,0.59,1.15
mu_over,1.88,16.27,0.9487,0.7323,0.77,2.02
mu_under,1.88,11.96,0.9695,0.9528,0.74,1.51
m_over_mu_over,17.12,15.98,0.0051,-59.0251,1.3,14.52
m_under_mu_under,3.95,10.65,-0.0262,-2.1323,0.53,1.6
m_over_mu_under,15.91,22.38,-0.282,-4.2154,1.44,2.08
m_under_mu_over,3.83,51.83,0.638,-0.3055,0.95,1.3
