domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,0.53,2.52,0.9935,0.9884,0.52,0.97
m_over,16.16,14.98,0.653,-5.1368,1.67,4.41
m_under,3.29,20.3,0.7498,-1.3443,0.44,1.16
mu_over,1.53,13.22,0.9643,0.882,1.08,1.67
mu_under,1.54,10.24,0.9686,0.9969,0.39,1.09
m_over_mu_over,16.84,22.12,-4.7753,-17.3047,2.41,12.74
m_under_mu_under,3.46,8.84,-0.1715,-2.8308,0.41,1.6
m_over_mu_under,15.41,21.6,-2.1413,0.8988,1.35,2.87
m_under_mu_over,3.29,46.21,0.6915,-0.0922,0.8,1.31
