domain,pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo400_rampd400_pcri-L1_p10c10.0_p9-2c5.0 [FS15_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS15_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [FS15_Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS15_Drop0.4_Epo1000]
m_seen_mu_seen,-4.6598,-5.411,-5.9185,-4.8753,-4.8753
m_over,-123.9569,-95.8746,-93.1171,-67.466,-67.466
m_under,-11.0013,-56.6038,-70.6757,-38.8178,-38.8178
mu_over,-5.387,-5.6069,-6.1613,-4.4183,-4.4183
mu_under,-5.8395,-6.3518,-7.4101,-6.8448,-6.8448
m_over_mu_over,-78.4987,-57.8125,-52.1056,-42.638,-42.638
m_under_mu_under,-34.1183,-67.7915,-78.6255,-176.3046,-176.3046
m_over_mu_under,-49.3126,-21.8862,-24.7028,-103.6395,-103.6395
m_under_mu_over,-12.1554,-42.7158,-57.7008,-23.4657,-23.4657
