domain,Baseline transver4 mmaxseen 1.0 (Data Only),"Baseline transver4 mmaxseen 1.0 m, mu focus (Data Only)",PINN 6 Trans4 mmaxseen1.0,Hybrid Trans4 mmaxseen1.0 (PINN 6 res + DATA main),PINN 7 Trans4 mmaxseen1.0,Hybrid Trans4 mmaxseen1.0 (PINN 7 res + DATA main)
m_seen_mu_seen,0.6,0.6,0.58,0.56,0.49,0.55
m_over,1.32,1.5,1.22,1.33,1.24,1.76
mu_over,0.87,0.86,0.77,0.85,0.71,0.81
mu_under,0.53,0.53,0.58,0.52,0.47,0.49
m_over_mu_over,1.37,1.87,1.43,1.84,1.35,2.3
m_over_mu_under,1.32,1.2,1.36,1.19,1.54,1.4
