domain,pinn_annstartepo100_pcri-mse_p2c1.0_p5c10.0,pinn_annstartepo100_pcri-mse_p2c5.0_p5c10.0,pinn_annstartepo100_pcri-mse_p5c10.0_p8c1.0,pinn_annstartepo100_pcri-mse_p5c10.0_p8c5.0,pinn_annstartepo150_pcri-mse_p2c5.0_p5c10.0,pinn_annstartepo200_pcri-mse_p2c5.0_p5c10.0,pinn_annstartepo50_pcri-mse_p2c5.0_p5c10.0,pinn_pcri-log1p_mse_p5c10.0,pinn_pcri-mse_p2c1.0_p5c10.0,pinn_pcri-mse_p2c5.0_p5c10.0,pinn_pcri-mse_p5c10.0,pinn_pcri-mse_p5c10.0_p8c1.0,pinn_pcri-mse_p5c10.0_p8c10.0,pinn_pcri-mse_p5c10.0_p8c5.0,pinn_annstartepo300_pcri-mse_p2c5.0_p5c10.0
m_seen_mu_seen,0.53,0.56,0.54,0.55,0.54,0.54,0.54,0.76,2.48,6.16,0.52,0.52,0.8,0.54,0.53
m_over,14.09,12.79,13.55,12.7,14.07,13.53,12.85,17.61,26.49,23.11,14.98,17.02,17.38,16.14,13.97
mu_over,1.52,1.61,1.44,1.4,1.57,1.51,1.63,1.22,3.05,6.15,1.32,1.3,0.97,1.4,1.51
mu_under,1.98,1.59,1.84,1.87,1.66,1.77,1.78,1.88,3.24,7.34,1.81,1.58,1.9,1.44,1.85
m_over_mu_over,14.07,12.76,13.26,12.63,14.84,13.58,12.43,19.29,32.43,30.7,14.34,17.51,17.58,15.57,13.43
m_over_mu_under,18.13,14.02,16.38,14.59,17.04,16.5,16.29,17.92,20.45,21.93,18.04,17.1,16.6,16.64,16.22
