domain,pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_tcri-log1p_mse_task10.0_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_FS0_Drop0.4_Epo1000]
m_seen_mu_seen,3.95,2.19,4.05,4.43,4.53,5.39,5.39,5.94
m_over,14.46,15.42,14.35,14.43,14.16,15.35,15.35,15.88
m_under,2.69,2.99,2.81,2.7,2.98,3.04,3.04,2.96
mu_over,3.6,2.91,3.56,4.02,5.91,5.5,5.5,7.1
mu_under,3.73,2.59,3.91,5.1,3.71,5.34,5.34,4.57
m_over_mu_over,14.35,15.0,14.36,14.86,14.4,15.44,15.44,16.04
m_under_mu_under,2.72,2.94,2.84,2.73,2.96,3.03,3.03,2.88
m_over_mu_under,14.74,16.01,14.37,13.45,13.57,15.4,15.4,14.26
m_under_mu_over,2.64,2.93,2.77,2.62,3.7,3.04,3.04,3.09
