domain,pinn_pcri-L1_p10c10.0 [MS20_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p10c10.0_p9-2c5.0 [MS5_Drop0.4_Epo1000],pinn_annstartepo400_rampd400_pcri-L1_p10c10.0_p9-2c5.0 [FS15_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000]
m_seen_mu_seen,5.27,5.9,6.32,6.5,6.48
m_over,17.2,16.88,17.41,17.21,17.24
m_under,0.61,0.86,0.78,0.66,0.72
mu_over,7.54,8.02,8.6,8.81,8.82
mu_under,2.73,3.6,3.52,3.68,3.66
m_over_mu_over,24.02,23.65,24.18,23.89,23.93
m_under_mu_under,0.54,0.41,0.43,0.94,1.13
m_over_mu_under,10.47,10.39,10.72,10.78,10.78
m_under_mu_over,0.95,1.42,1.33,0.87,0.84
