domain,pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS15_Drop0.4_Epo1000]
m_seen_mu_seen,0.3934,0.6335,0.2942,0.2363,-1.8895
m_over,-0.1299,-8.1263,-13.1627,-8.6876,-18.1407
m_under,0.0059,-0.2535,-0.3411,-0.556,-0.3808
mu_over,0.0472,-0.0177,0.1301,-0.4848,-1.7011
mu_under,-1.9439,0.5844,-0.1079,-1.1956,-3.5036
m_over_mu_over,-0.4765,-6.8926,-7.1806,-7.6988,-26.7384
m_under_mu_under,0.4176,-2.4085,-1.2544,-9.2265,-1.8304
m_over_mu_under,0.2635,-5.3062,-0.9276,-6.1787,-9.6014
m_under_mu_over,-0.7004,0.2252,-0.0145,-0.1581,-0.2048
