domain,Baseline transver4 mmaxseen 1.0 (Data Only),"Baseline transver4 mmaxseen 1.0 m, mu focus (Data Only)",PINN 3 Trans4 mmaxseen1.0,PINN 4 Trans4 mmaxseen1.0,Hybrid Trans4 mmaxseen1.0 (PINN 2 + DATA force),Hybrid Trans4 mmaxseen1.0 (PINN 2 + DATA force small)
m_seen_mu_seen,0.35,0.33,0.97,1.03,0.36,0.37
m_over,4.44,4.57,4.45,5.19,3.92,4.2
mu_over,0.81,0.95,1.62,1.59,0.77,0.82
mu_under,1.09,0.92,1.44,0.96,0.95,0.98
m_over_mu_over,13.78,14.17,13.41,14.72,13.24,13.53
m_over_mu_under,1.75,1.24,2.48,2.79,2.44,3.2
