domain,pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS15_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo400_rampd400_pcri-L1_p10c10.0_p9-2c5.0 [FS15_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [Drop0.4_Epo1000]
m_seen_mu_seen,6.25,20.44,20.82,6.19,22.06
m_over,36.9,38.38,38.56,37.12,39.53
m_under,55.96,38.63,39.35,57.09,32.82
mu_over,11.08,23.76,25.32,11.74,22.22
mu_under,9.16,21.32,23.15,9.37,40.97
m_over_mu_over,35.12,38.53,37.36,35.57,37.58
m_under_mu_under,53.32,38.98,38.28,54.53,33.01
m_over_mu_under,34.53,38.61,38.47,35.61,48.21
m_under_mu_over,55.44,39.24,39.93,56.6,31.33
