domain,pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [FS10_Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],hybrid_tcri-log1p_mse_task10.0_pcri-L1_p10c0.05 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_FS0_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p10c10.0_p9-2c5.0 [MS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [MS10_Drop0.4_Epo1000],hybrid_tcri-log1p_mse_task10.0_pcri-L1_p10c1.0 [Drop0.4_Epo1000],hybrid_tcri-log1p_mse_task10.0_pcri-L1_p10c10.0 [Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000]
m_seen_mu_seen,7.86,8.27,8.59,7.13,7.62,7.88,7.88,3.36,12.02,8.64,10.33,9.54,8.36,10.27,10.26,5.73,5.73,14.02,14.8,10.72
m_over,30.16,30.18,29.49,30.88,39.44,40.19,40.19,38.09,31.52,42.27,35.59,43.2,48.03,33.9,39.72,47.89,47.89,50.68,55.48,45.86
m_under,5.38,5.51,7.67,4.38,4.97,4.67,4.67,11.99,10.33,4.37,13.22,4.7,5.84,18.55,14.94,11.52,11.52,5.01,5.79,25.64
mu_over,10.26,11.0,10.42,8.64,5.74,6.02,6.02,4.66,11.29,6.23,11.95,7.11,8.9,14.19,11.23,7.77,7.77,11.71,13.62,10.86
mu_under,6.9,7.38,5.71,12.06,9.7,9.92,9.92,4.85,13.87,13.42,6.38,13.23,11.63,8.18,6.53,5.38,5.38,16.93,16.44,10.82
m_over_mu_over,30.22,29.31,28.73,30.1,38.86,39.61,39.61,37.64,31.39,41.45,35.14,42.55,47.92,33.92,39.27,47.6,47.6,49.95,54.88,45.48
m_under_mu_under,5.39,5.25,6.26,4.41,5.02,4.73,4.73,12.16,8.8,4.4,10.83,4.74,5.93,18.67,13.78,11.8,11.8,5.11,5.91,25.7
m_over_mu_under,30.11,30.3,29.41,33.77,39.45,39.97,39.97,38.22,35.59,45.02,35.36,45.28,45.26,33.77,38.88,46.86,46.86,52.13,56.86,46.26
m_under_mu_over,6.06,6.3,9.12,4.24,4.79,4.51,4.51,11.63,11.5,4.23,14.77,4.55,5.6,18.4,15.79,11.07,11.07,4.76,5.52,25.44
