domain,Baseline cond2 (Data Only),"PINN 2 (only m,mu)",PINN 3 (m and mu separately),PINN 4 (m and mu separately+together),Hybrid (PINN 3),Hybrid (PINN 4),Hybrid ANN (PINN 3),Hybrid ANN (PINN 4),Hybrid (PINN 2 + DATA force),Hybrid (PINN 2 small + DATA force)
m_seen_mu_seen,1.96,1.8,2.45,1.65,2.04,1.88,1.95,1.93,2.63,3.03
m_over,12.07,9.66,13.63,12.36,10.49,11.78,12.59,12.57,14.36,15.81
mu_over,1.72,1.82,1.27,1.53,1.61,1.43,1.87,1.91,1.75,1.72
mu_under,3.92,4.19,5.17,4.46,3.24,3.15,3.88,4.0,5.58,5.17
m_over_mu_over,15.48,3.51,18.13,15.85,20.57,14.5,15.21,14.23,32.27,17.95
m_over_mu_under,13.33,17.38,19.97,16.13,12.66,13.16,13.49,13.39,18.62,20.89
