domain,pinn_pcri-L1_p10c10.0 [MS10_FS0_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000]
m_seen_mu_seen,2.44,2.6,2.59,2.57,3.18,2.98,3.23
m_over,5.3,5.23,5.22,5.25,5.1,5.1,5.13
m_under,0.71,0.71,0.72,0.81,0.42,0.5,0.47
mu_over,3.51,3.55,3.52,3.56,3.84,3.95,3.84
mu_under,1.48,1.49,1.66,1.5,2.38,2.24,2.41
m_over_mu_over,7.36,7.32,7.34,7.36,7.22,7.28,7.25
m_under_mu_under,0.47,0.47,0.48,0.46,0.47,0.5,0.49
m_over_mu_under,2.83,2.83,2.73,2.91,2.58,2.57,2.65
m_under_mu_over,0.88,0.87,0.88,1.01,0.63,0.8,0.56
