domain,pinn_annstartepo200_pcri-L1_p10c10.0_p2-2c5.0 [Drop0.4_Epo500],pinn_annstartepo200_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo500],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [Drop0.4_Epo500],pinn_pcri-L1_p10c10.0 [Drop0.4_Epo500],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo500],pinn_annstartepo200_pcri-L1_p10c10.0_p2-2c5.0 [MS20_Drop0.4_Epo500],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [MS20_Drop0.4_Epo500],pinn_pcri-L1_p10c10.0 [MS20_Drop0.4_Epo500],pinn_pcri-L1_p5c10.0 [MS20_Drop0.4_Epo500],pinn_pcri-L1_p10c10.0 [FS20_Drop0.4_Epo500],pinn_pcri-L1_p5c10.0 [FS20_Drop0.4_Epo500],pinn_pcri-L1_p10c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS20_Drop0.4_Epo1000]
m_seen_mu_seen,2.92,3.57,2.99,3.13,3.65,12.32,12.45,12.5,2.59,6.16,9.97,3.93,4.39,5.0
m_over,23.98,22.4,23.99,24.13,22.25,41.29,41.39,41.42,23.62,26.6,19.44,17.58,24.15,26.25
m_under,2.5,9.3,2.4,2.42,9.5,3.04,2.91,2.84,4.02,17.63,25.09,2.3,2.46,2.61
mu_over,2.14,2.44,2.07,2.04,2.51,12.08,12.2,12.25,2.0,6.24,10.17,4.72,3.11,6.49
mu_under,5.6,4.65,5.67,5.84,4.45,12.26,12.41,12.48,3.96,6.24,10.04,7.29,5.92,4.02
m_over_mu_over,23.52,20.68,23.53,23.67,20.33,41.0,41.1,41.13,23.37,26.31,19.18,16.83,23.78,26.2
m_under_mu_under,2.58,9.2,2.58,2.61,9.36,3.08,2.94,2.87,4.06,17.67,25.13,2.31,2.49,2.55
m_over_mu_under,24.74,24.39,24.8,24.96,24.35,41.55,41.65,41.69,25.46,26.86,19.65,20.41,23.93,24.95
m_under_mu_over,2.26,9.35,2.09,2.08,9.58,2.92,2.79,2.73,4.03,17.51,24.97,2.22,2.36,3.13
