domain,pinn_annstartepo300_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_tcri-log1p_mse_task10.0_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],pinn_annstartepo400_rampd500_pcri-L1_p11c10.0_p11-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p11c10.0_p11-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_MS0_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0_p9-2c5.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_FS0_Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],hybrid_tcri-log1p_mse_task10.0_pcri-L1_p10c10.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p10c10.0_p9-2c5.0 [MS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [MS10_Drop0.4_Epo1000],hybrid_tcri-log1p_mse_task10.0_pcri-L1_p10c1.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000]
m_seen_mu_seen,1.02,1.02,1.05,1.28,1.51,1.23,1.71,1.87,1.88,1.98,2.13,2.14,1.96,1.89,1.91,2.87,2.14,2.14,2.62,2.13
m_over,1.78,1.78,1.8,1.98,1.98,2.35,2.07,1.89,2.48,2.6,3.25,3.82,4.59,2.93,2.59,3.86,3.35,3.35,2.38,3.45
m_under,0.55,0.55,0.59,0.87,0.88,1.08,0.74,1.3,1.03,1.7,1.47,1.2,0.76,2.37,3.13,1.24,2.69,2.69,3.58,3.56
mu_over,1.05,1.05,1.07,1.28,1.45,1.38,1.63,1.79,1.64,1.96,2.22,2.52,2.58,1.84,1.75,2.97,2.23,2.23,2.65,2.05
mu_under,0.96,0.96,1.0,1.27,1.32,1.01,1.85,1.71,1.39,2.02,1.84,1.38,1.19,1.89,1.75,2.64,1.85,1.85,2.67,2.42
m_over_mu_over,1.97,1.97,1.98,2.06,2.17,2.37,2.19,2.16,2.34,2.54,3.17,3.75,4.68,2.63,2.53,3.76,3.26,3.26,2.34,3.32
m_under_mu_under,0.53,0.53,0.57,0.86,1.03,1.22,0.75,1.3,1.02,1.69,1.46,1.19,0.96,2.31,3.14,1.27,2.56,2.56,3.55,3.54
m_over_mu_under,1.68,1.68,1.71,1.97,2.22,2.03,2.04,2.16,2.94,2.65,3.23,3.51,3.88,3.18,2.77,3.9,3.43,3.43,2.19,3.73
m_under_mu_over,0.62,0.62,0.65,0.91,0.79,1.0,0.75,1.26,0.98,1.71,1.48,1.19,0.67,2.45,3.1,1.2,2.81,2.81,3.63,3.59
