domain,pinn_annstartepo200_pcri-L1_p10c10.0_p2-2c5.0 [Drop0.4_Epo500],pinn_annstartepo200_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo500],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [Drop0.4_Epo500],pinn_pcri-L1_p10c10.0 [Drop0.4_Epo500],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo500],pinn_annstartepo200_pcri-L1_p10c10.0_p2-2c5.0 [MS20_Drop0.4_Epo500],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [MS20_Drop0.4_Epo500],pinn_pcri-L1_p10c10.0 [MS20_Drop0.4_Epo500],pinn_pcri-L1_p5c10.0 [MS20_Drop0.4_Epo500],pinn_pcri-L1_p10c10.0 [FS20_Drop0.4_Epo500],pinn_pcri-L1_p5c10.0 [FS20_Drop0.4_Epo500],pinn_pcri-L1_p10c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS20_Drop0.4_Epo1000]
m_seen_mu_seen,10.75,14.75,10.36,10.23,15.8,10.74,11.42,11.51,14.49,9.66,14.96,13.44,13.63,15.48
m_over,11.99,18.19,11.17,11.76,18.13,11.61,11.92,12.16,24.02,9.66,14.75,10.31,15.17,9.83
m_under,20.64,9.72,19.89,20.14,13.14,9.3,10.15,10.03,9.52,9.55,14.94,20.71,26.23,10.51
mu_over,23.4,17.93,24.25,23.59,20.61,28.51,30.59,30.67,18.75,26.46,12.92,27.3,24.51,33.23
mu_under,20.26,29.09,19.69,20.21,26.58,22.77,18.8,19.1,27.34,22.03,35.78,18.57,16.96,13.08
m_over_mu_over,16.5,8.73,17.78,16.74,8.14,30.79,31.26,31.64,4.49,26.46,12.79,19.23,12.22,18.91
m_under_mu_under,6.64,23.42,7.29,6.98,18.92,24.33,20.25,20.55,23.33,22.04,35.78,6.84,4.57,22.66
m_over_mu_under,31.89,35.12,30.44,31.36,34.71,18.94,17.5,17.28,45.17,22.02,35.88,28.68,36.62,24.13
m_under_mu_over,41.87,26.8,40.97,41.08,34.16,24.27,28.4,28.09,25.44,26.49,12.95,42.58,47.71,29.83
