domain,data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],hybrid_tcri-log1p_mse_task10.0_pcri-L1_p10c0.05 [Drop0.4_Epo1000],hybrid_tcri-log1p_mse_task10.0_pcri-L1_p10c1.0 [Drop0.4_Epo1000],hybrid_tcri-log1p_mse_task10.0_pcri-L1_p10c10.0 [Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0_p9-2c5.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS20_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS20_Drop0.4_Epo1000],pinn_annstartepo400_rampd400_pcri-L1_p10c10.0_p9-2c5.0 [FS20_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS20_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p10c10.0_p9-2c5.0 [MS15_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS15_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [FS15_Drop0.4_Epo1000],pinn_annstartepo400_rampd400_pcri-L1_p10c10.0_p9-2c5.0 [FS15_Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS15_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [MS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p10c10.0_p9-2c5.0 [MS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p10c10.0_p9-2c5.0 [MS5_Drop0.4_Epo1000],pinn_annstartepo300_rampd400_pcri-L1_p5c10.0_p2-2c5.0 [FS5_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [FS5_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p9-2c5.0 [FS5_Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS5_Drop0.4_Epo1000]
m_seen_mu_seen,22.7,12.02,22.29,14.81,16.6,17.17,16.87,17.09,18.84,17.17,23.33,22.89,20.04,19.59,16.05,8.85,21.59,8.78,21.59,9.17,9.17,10.23,17.03,18.37,10.47,16.76,18.37,13.46,14.81,14.48,14.65,14.98
m_over,26.9,17.17,28.15,15.12,12.93,19.36,18.28,13.38,19.09,19.36,25.22,14.74,12.17,12.56,27.59,18.39,23.45,19.09,23.45,15.56,15.56,12.07,15.68,,14.32,16.2,25.47,20.25,12.51,12.54,17.57,14.64
m_under,16.7,20.1,35.07,23.34,28.4,38.09,37.33,28.68,19.39,38.09,26.99,13.49,13.54,13.68,18.81,22.67,27.41,22.95,27.41,18.38,18.38,18.09,12.44,,18.22,12.45,19.98,12.47,12.56,12.66,13.4,12.97
mu_over,16.42,30.24,15.81,28.59,43.29,35.29,33.93,39.28,54.64,35.29,53.57,57.71,50.82,48.14,21.67,29.82,23.79,29.13,23.79,27.25,27.25,29.81,40.76,,34.67,42.34,28.77,24.32,44.77,44.59,46.74,46.35
mu_under,52.66,29.18,49.11,38.96,18.62,20.39,23.77,25.05,18.97,20.39,8.28,14.61,14.67,15.35,40.24,14.01,44.02,14.23,44.02,28.36,28.36,28.78,21.67,,17.55,18.28,16.77,43.13,32.22,32.2,29.36,31.51
m_over_mu_over,13.65,20.55,8.5,24.78,29.65,17.64,19.49,28.99,54.46,17.64,8.9,46.26,30.05,28.48,9.42,23.92,13.07,21.43,13.07,22.52,22.52,37.15,30.56,,26.3,31.65,10.85,15.42,39.32,39.64,52.2,46.43
m_under_mu_under,21.33,16.9,5.75,13.79,9.06,5.96,5.83,8.71,18.21,5.96,10.14,34.28,33.69,34.37,54.63,13.06,8.59,12.6,8.59,17.48,17.48,18.04,36.26,,26.7,30.64,20.06,38.38,35.61,34.27,30.12,32.02
m_over_mu_under,66.92,46.73,64.69,48.82,40.34,56.28,54.87,43.91,19.29,56.28,47.46,22.43,33.91,34.38,64.82,33.34,62.69,37.46,62.69,42.41,42.41,31.58,32.84,,41.82,32.89,55.91,54.12,31.69,31.45,22.44,25.5
m_under_mu_over,49.46,55.6,68.74,60.71,65.58,73.56,72.81,65.61,55.6,73.56,64.21,44.21,44.6,44.96,19.97,57.41,62.09,57.4,62.09,51.35,51.35,51.18,32.3,,53.16,39.09,57.07,34.97,38.32,39.66,43.81,41.91
