domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.03399,1.15,0.01556,3.71,0.9992,0.9627
m_over,0.7897,26.77,0.08038,19.15,0.7344,-4.9364
m_under,0.07246,2.46,0.05836,13.91,0.3501,0.4686
mu_over,0.04306,1.46,0.04919,11.72,0.9963,0.8412
mu_under,0.0846,2.87,0.05623,13.4,0.9985,0.9901
m_over_mu_over,1.08206,36.68,0.03273,7.8,-7.8411,-0.711
m_under_mu_under,0.06378,2.16,0.08049,19.18,-2.3528,-0.266
m_over_mu_under,0.79311,26.89,0.1376,32.79,0.7346,0.6852
m_under_mu_over,0.08136,2.76,0.16681,39.75,0.5595,0.2942
