domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,0.64,2.3,0.9903,0.8829,0.59,0.32
m_over,16.65,11.64,0.8406,-14.2982,1.12,4.23
mu_over,1.9,13.0,0.9822,0.6661,0.88,0.84
mu_under,1.47,12.33,0.9864,0.9674,0.51,0.81
m_over_mu_over,15.43,10.84,-1.2331,-84.9295,1.29,13.19
m_over_mu_under,17.03,17.24,0.1924,-6.1419,1.16,1.1
