domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.07232,2.45,0.02182,5.2,0.9988,0.9229
m_over,0.71267,24.16,0.08203,19.54,0.9012,-0.8294
mu_over,0.03732,1.27,0.05513,13.14,0.9956,0.8088
mu_under,0.15261,5.17,0.06857,16.34,0.9952,0.9308
m_over_mu_over,0.91609,31.06,0.02624,6.25,-1.9001,-15.8869
m_over_mu_under,0.82214,27.87,0.15786,37.61,0.7948,-15.6735
