domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,3.68,3.9,0.9939,0.9657,1.01,2.1
m_over,16.32,11.26,0.89,-2.0087,2.28,6.61
mu_over,2.38,15.01,0.9707,0.7969,1.53,4.86
mu_under,4.9,10.34,0.9833,0.9759,1.03,1.19
m_over_mu_over,9.01,11.51,-1.0175,-42.3713,2.93,13.35
m_over_mu_under,20.07,19.58,0.9647,-5.0905,1.73,2.35
