domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,2.83,5.77,0.9981,0.9621,4.37,1.63
m_over,15.27,19.06,0.929,-9.7363,9.02,5.06
mu_over,2.07,12.12,0.9875,0.7038,4.38,4.08
mu_under,4.43,14.13,0.9939,0.9922,2.46,1.3
m_over_mu_over,16.83,5.63,-1.5908,-38.7132,5.77,15.42
m_over_mu_under,16.22,29.31,0.8294,-0.0511,8.95,2.44
