domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,1.35,3.26,0.969,0.7643,0.6,0.33
m_over,17.7,11.05,0.847,0.5489,1.5,4.57
mu_over,0.93,15.81,0.9599,0.4328,0.86,0.95
mu_under,3.2,11.36,0.8016,0.792,0.53,0.92
m_over_mu_over,17.48,12.28,-2.0699,0.6328,1.87,14.17
m_over_mu_under,17.47,17.16,-0.3287,-8.508,1.2,1.24
