domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.04073,1.38,0.01824,4.35,0.999,0.955
m_over,0.76998,26.1,0.07285,17.36,0.7414,0.1208
m_under,0.07344,2.49,0.04989,11.89,0.0066,-0.0601
mu_over,0.04626,1.57,0.04897,11.67,0.9955,0.8923
mu_under,0.09092,3.08,0.06021,14.34,0.9984,0.9902
m_over_mu_over,0.79877,27.08,0.04202,10.01,-1.6454,-12.4389
m_under_mu_under,0.07941,2.69,0.08374,19.95,-1.2419,-0.2824
m_over_mu_under,0.79105,26.82,0.13158,31.35,0.9551,-4.4069
m_under_mu_over,0.07119,2.41,0.14514,34.58,0.1346,0.1404
