domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.06884,2.33,0.0295,7.03,-4.0789,-20.8599
m_over,0.73895,25.05,0.08298,19.77,-34.6303,-320.3456
m_under,0.06082,2.06,0.05157,12.29,-64.7546,-3419.1445
mu_over,0.08396,2.85,0.06823,16.26,-4.7783,-21.8438
mu_under,0.15716,5.33,0.09275,22.1,-5.0357,-28.7295
m_over_mu_over,0.66647,22.59,0.04139,9.86,-55.9734,-258.1969
m_under_mu_under,0.05692,1.93,0.11162,26.6,-231.6793,-2586.4299
m_over_mu_under,0.89213,30.24,0.14162,33.74,-23.1646,-4550.061
m_under_mu_over,0.06647,2.25,0.16815,40.06,-34.6361,-4163.9678
