domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.0866,2.94,0.0169,4.03,0.9966,0.9551
m_over,0.92764,31.45,0.06241,14.87,0.8084,-5.8614
m_under,0.0793,2.69,0.06242,14.87,0.1061,0.238
mu_over,0.08267,2.8,0.04917,11.72,0.9753,0.7145
mu_under,0.11383,3.86,0.05196,12.38,0.9921,0.988
m_over_mu_over,1.20735,40.93,0.03117,7.43,-1.3542,-1.0463
m_under_mu_under,0.07755,2.63,0.07751,18.47,-0.462,-7.6388
m_over_mu_under,0.87249,29.58,0.08551,20.37,0.9909,-1.9139
m_under_mu_over,0.08338,2.83,0.18181,43.32,0.2547,0.3068
