domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.05864,1.99,0.01217,2.9,0.9979,0.9219
m_over,1.00955,34.22,0.05817,13.86,0.8524,0.8609
m_under,0.0807,2.74,0.0607,14.46,-0.1298,0.0599
mu_over,0.05095,1.73,0.05418,12.91,0.9756,0.6948
mu_under,0.11438,3.88,0.05592,13.32,0.9937,0.9487
m_over_mu_over,1.57675,53.45,0.10845,25.84,0.3112,0.7385
m_under_mu_under,0.07872,2.67,0.08622,20.54,-0.8317,-2.0792
m_over_mu_under,0.7769,26.34,0.08977,21.39,0.8521,-0.4202
m_under_mu_over,0.08416,2.85,0.17649,42.05,0.515,0.0226
