Category,Object,Surface,GT (m / mu / Fric),PhyPush ($\mathcal{L}_{\text{data}}$) (m NRMSE±STD),PhyPush ($\mathcal{L}_{\text{data}}$) (mu NRMSE±STD),PhyPush ($\mathcal{L}_{\text{data}}$) (Fric F NRMSE±STD),"PhyPush ($\mathcal{L}_{\text{force,un}}$) (m NRMSE±STD)","PhyPush ($\mathcal{L}_{\text{force,un}}$) (mu NRMSE±STD)","PhyPush ($\mathcal{L}_{\text{force,un}}$) (Fric F NRMSE±STD)","PhyPush ($\mathcal{L}_{\text{force,acc un}}$) (m NRMSE±STD)","PhyPush ($\mathcal{L}_{\text{force,acc un}}$) (mu NRMSE±STD)","PhyPush ($\mathcal{L}_{\text{force,acc un}}$) (Fric F NRMSE±STD)"
Seen,Plastic cube,Wood smooth,0.798 / 0.3421 / 2.68,0.202±0.021,0.283±0.184,0.097±0.015,0.119±0.050,0.283±0.146,0.146±0.071,0.105±0.055,0.246±0.122,0.121±0.068
Seen,Plastic cube,Wood smooth,0.915 / 0.3421 / 3.07,0.243±0.063,0.316±0.147,0.117±0.045,0.146±0.050,0.322±0.146,0.183±0.082,0.108±0.054,0.251±0.105,0.152±0.088
Seen,Plastic cube,Wood smooth,1.123 / 0.3421 / 3.77,0.310±0.031,0.339±0.107,0.135±0.041,0.102±0.075,0.370±0.158,0.155±0.062,0.073±0.053,0.317±0.139,0.136±0.055
Seen,Plastic cube,Wood smooth,1.240 / 0.3421 / 4.16,0.379±0.058,0.346±0.104,0.179±0.059,0.153±0.088,0.272±0.176,0.129±0.070,0.118±0.067,0.272±0.122,0.106±0.061
Seen,Plastic cube,Wood smooth,1.456 / 0.3421 / 4.89,0.501±0.032,0.366±0.063,0.247±0.033,0.311±0.105,0.327±0.124,0.207±0.122,0.277±0.101,0.289±0.126,0.166±0.109
Seen,Plastic cube,Wood smooth,1.656 / 0.3421 / 5.56,0.594±0.048,0.364±0.041,0.301±0.042,0.294±0.077,0.324±0.159,0.122±0.092,0.247±0.055,0.314±0.130,0.076±0.055
Seen,Plastic cube,Wood smooth,1.856 / 0.3421 / 6.23,0.673±0.053,0.378±0.030,0.341±0.048,0.513±0.136,0.289±0.125,0.337±0.165,0.482±0.143,0.334±0.215,0.277±0.140
Unseen,Plastic container,Rubber,0.167 / 0.2987 / 0.49,0.077±0.030,0.891±0.325,0.127±0.029,0.099±0.055,0.640±0.302,0.127±0.067,0.118±0.053,0.533±0.208,0.137±0.060
Unseen,Plastic container,Rubber,0.397 / 0.2987 / 1.16,0.043±0.031,0.727±0.408,0.102±0.045,0.219±0.129,0.385±0.255,0.199±0.131,0.228±0.130,0.400±0.194,0.222±0.120
Unseen,Plastic container,Rubber,0.989 / 0.2987 / 2.90,0.180±0.065,0.487±0.048,0.063±0.030,0.167±0.043,0.440±0.136,0.278±0.106,0.157±0.047,0.461±0.144,0.288±0.112
Unseen,Plastic container,Wood rough,0.989 / 0.1799 / 1.75,0.252±0.043,0.803±0.123,0.094±0.052,0.110±0.063,0.683±0.319,0.257±0.154,0.073±0.039,0.694±0.226,0.275±0.126
Unseen,Plastic container,Wood smooth,0.989 / 0.1580 / 1.53,0.213±0.038,0.877±0.095,0.138±0.042,0.149±0.054,0.916±0.053,0.412±0.113,0.160±0.058,0.938±0.110,0.409±0.119
Unseen,Tin Can,Rubber,0.175 / 0.3654 / 0.63,0.071±0.027,0.866±0.360,0.129±0.034,0.102±0.055,0.383±0.242,0.094±0.061,0.109±0.055,0.296±0.138,0.103±0.067
Unseen,Tin Can,Rubber,0.376 / 0.3654 / 1.35,0.022±0.014,0.433±0.143,0.051±0.015,0.050±0.030,0.270±0.145,0.055±0.038,0.042±0.030,0.314±0.190,0.051±0.029
Unseen,Tin Can,Wood rough,0.175 / 0.3747 / 0.64,0.060±0.031,0.769±0.284,0.107±0.031,0.078±0.050,0.197±0.122,0.078±0.050,0.093±0.057,0.255±0.107,0.095±0.054
Unseen,Tin Can,Wood rough,0.376 / 0.3747 / 1.38,0.031±0.023,0.605±0.371,0.074±0.043,0.094±0.072,0.368±0.226,0.103±0.079,0.077±0.058,0.231±0.138,0.081±0.057
Unseen,Tin Can,Wood smooth,0.175 / 0.2724 / 0.47,0.091±0.051,0.941±0.198,0.145±0.047,0.086±0.044,0.542±0.214,0.107±0.049,0.121±0.055,0.514±0.122,0.134±0.055
Unseen,Tin Can,Wood smooth,0.376 / 0.2724 / 1.00,0.040±0.024,0.711±0.227,0.080±0.020,0.068±0.041,0.350±0.214,0.063±0.047,0.064±0.034,0.483±0.271,0.089±0.069
Unseen,Wooden box,Rubber,0.348 / 0.4626 / 1.58,0.092±0.065,0.258±0.174,0.073±0.047,0.116±0.059,0.329±0.192,0.088±0.042,0.122±0.042,0.237±0.128,0.100±0.050
Unseen,Wooden box,Wood rough,0.348 / 0.1826 / 0.62,0.037±0.024,0.906±0.285,0.099±0.021,0.082±0.036,0.798±0.340,0.142±0.061,0.101±0.053,0.769±0.279,0.150±0.050
Unseen,Wooden box,Wood smooth,0.348 / 0.2803 / 0.96,0.025±0.018,0.800±0.367,0.117±0.064,0.057±0.038,0.532±0.225,0.093±0.056,0.067±0.034,0.477±0.159,0.094±0.043
