Model,Property,Seen: No Lid / Green Rub,Seen: No Lid / Wood Sm,Unseen: Blue Cyl / Green Rub,Unseen: Blue Cyl / Wood Rg,Unseen: Blue Cyl / Wood Sm,Unseen: Col Cubes / Green Rub,Unseen: Col Cubes / Wood Rg,Unseen: Col Cubes / Wood Sm,Unseen: No Lid / Green Rub,Unseen: No Lid / Wood Rg,Unseen: No Lid / Wood Sm,Unseen: Wood Cube / Green Rub,Unseen: Wood Cube / Wood Rg,Unseen: Wood Cube / Wood Sm
PhyPush (Data loss),$m$,8.7±1.9(5.6),9.1±3.0(5.0),10.6±5.1(3.5),7.3±2.4(2.6),7.1±3.4(2.8),12.9±3.0(9.1),18.1±1.7(15.4),17.8±1.7(15.0),44.0±1.0(42.2),24.4±1.7(21.4),44.2±1.0(41.9),5.9±2.3(1.8),7.9±5.0(0.8),7.9±5.2(0.2)
,$\mu$,9.8±5.2(1.6),31.1±7.9(16.2),22.8±9.0(5.3),16.6±8.8(1.2),37.6±12.7(12.5),35.1±8.0(19.3),75.5±3.5(70.6),85.2±4.9(73.5),12.5±3.7(6.2),54.9±5.2(46.4),34.0±3.8(29.6),37.2±10.0(14.9),70.9±15.5(40.7),64.9±12.9(36.2)
PhyPush ($m$ best),$m$,12.0±6.0(4.0),12.7±6.3(3.7),20.4±7.8(14.1),20.9±6.5(14.5),21.5±7.6(14.5),18.1±6.1(6.3),10.5±7.0(2.2),2.3±0.1(2.1),31.1±4.2(27.1),21.4±5.3(14.2),29.8±4.3(27.1),14.9±8.4(2.7),17.6±8.5(5.4),15.5±7.4(5.5)
,$\mu$,52.4±0.5(51.4),75.2±0.4(74.5),68.8±0.6(68.3),66.9±0.6(66.0),92.3±0.5(91.6),86.1±0.4(85.3),116.1±0.3(115.8),121.5±0.1(121.4),52.8±0.2(52.5),97.2±0.3(96.6),75.6±0.2(75.2),82.8±0.6(82.0),120.2±0.4(119.3),115.8±0.4(115.0)
PhyPush ($\mu$ best),$m$,13.2±2.5(8.7),15.6±2.1(12.0),4.3±0.6(3.7),5.6±2.9(2.8),5.7±2.5(2.8),12.1±2.6(7.7),29.7±4.8(17.1),31.4±1.0(29.4),49.7±2.6(46.9),32.8±2.8(28.4),53.3±2.9(48.8),5.7±2.3(2.6),7.5±1.6(3.6),7.8±1.3(5.5)
,$\mu$,25.2±11.9(4.2),17.9±7.8(5.5),22.8±5.3(10.0),25.2±7.6(9.4),22.5±16.1(2.2),26.7±10.6(8.6),55.9±11.6(31.2),65.4±1.6(62.9),17.8±7.6(2.6),34.6±13.9(12.0),14.6±7.5(3.0),15.3±11.7(0.9),46.4±14.9(27.4),43.7±19.0(16.1)
