Model,Force Input Required?,Mass (Seen),Fric (Seen),Mass (Unseen),Fric (Unseen)
PhyPush (Data loss),No,8.92 ± 2.41 (5.25),20.47 ± 6.57 (22.55),23.09 ± 2.31 (19.39),42.18 ± 6.97 (42.81)
PhyPush (PG loss 1),No,15.15 ± 2.00 (11.04),22.56 ± 10.12 (16.46),28.26 ± 2.39 (24.54),31.62 ± 12.53 (25.67)
PhyPush (PG loss 2),No,14.19 ± 3.73 (6.89),17.02 ± 4.22 (15.86),23.86 ± 3.92 (17.88),39.21 ± 6.12 (35.12)
PhyPush (PG loss 3),No,14.39 ± 2.32 (10.37),21.56 ± 9.82 (18.50),27.54 ± 2.46 (23.75),28.84 ± 11.10 (21.68)
PhyPush (PG loss 4),No,12.62 ± 6.25 (2.08),17.01 ± 9.64 (15.76),26.87 ± 6.86 (14.21),31.38 ± 10.79 (30.59)
