domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,1.17,4.24,0.9948,0.9438,0.6,0.37
m_over,16.61,19.92,0.791,0.0961,1.28,4.2
mu_over,2.89,15.02,0.992,0.7688,0.89,0.82
mu_under,0.95,10.34,0.9927,0.9842,0.49,0.98
m_over_mu_over,15.97,9.8,-2.9623,0.5005,1.53,13.53
m_over_mu_under,17.66,39.43,0.7397,-5.7905,1.3,3.2
