domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,1.19,3.38,0.9884,0.9412,0.6,0.35
m_over,16.12,16.71,0.7771,0.432,1.32,4.44
mu_over,2.82,14.19,0.9859,0.8292,0.87,0.81
mu_under,0.63,12.93,0.9897,0.9398,0.53,1.09
m_over_mu_over,16.11,9.78,-2.37,-0.0801,1.37,13.78
m_over_mu_under,15.96,29.83,0.9454,-4.6589,1.32,1.75
