domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_mae,fric_f_mae
m_seen_mu_seen,1.96,2.85,0.9979,0.9213,0.109,0.1997
m_over,12.07,6.99,0.969,-2.9828,0.1793,1.0914
mu_over,1.72,12.91,0.9759,0.6877,0.1305,0.8359
mu_under,3.92,13.33,0.9936,0.9487,0.1122,0.1878
m_over_mu_over,15.48,12.41,0.6245,0.6696,0.2699,3.9471
m_over_mu_under,13.33,13.79,0.9806,-0.4195,0.2062,0.1872
