domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,0.54,3.33,0.9962,0.9559,0.55,0.34
m_over,25.86,13.59,-1.7244,0.9627,1.76,4.46
mu_over,1.69,13.32,0.9867,0.8044,0.81,0.79
mu_under,1.59,13.85,0.9813,0.9828,0.49,1.0
m_over_mu_over,36.07,18.29,-2.973,0.9249,2.3,14.36
m_over_mu_under,16.14,25.28,0.5166,-0.1268,1.4,1.68
