domain,mass_nmae_pct,mass_nrmse_pct,mass_smape_pct,mu_nmae_pct,mu_nrmse_pct,mu_smape_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,0.56,0.73,2.84,2.65,3.7,2.79,-5.4883,-84.0387,12.29,9.63
m_over,13.38,15.64,28.31,8.12,10.76,7.92,-15.7877,-7.483,11.58,24.43
m_under,0.44,0.58,7.07,13.66,16.92,14.76,-1.0382,-2085.2795,11.71,1.59
mu_over,1.38,1.69,6.44,13.19,14.7,10.58,-7.7132,-14.2,9.9,15.15
mu_under,1.86,2.04,9.69,11.58,13.08,18.11,-4.543,-183.6327,12.3,4.21
m_over_mu_over,13.01,15.72,27.35,10.46,12.29,8.24,-175.9824,-21.092,8.72,36.72
m_under_mu_under,0.87,0.99,13.51,18.95,20.66,27.59,-0.4547,-6133.4741,11.66,0.55
m_over_mu_under,14.2,16.29,30.35,7.38,8.79,12.14,-57.126,-100.5219,12.71,12.04
m_under_mu_over,0.99,1.15,13.71,38.6,39.98,35.05,-1.6886,-991.8293,11.71,3.0
