domain,v1_data,v5_pinn,v6_pinn
"blue_can_ycb_green_rub (mgt:0.35, w:3)",2.7633202703375557,,1.565011237796983
"blue_can_ycb_green_rub (mgt:0.35, w:5)",0.6047474710564853,,2.4821369271529337
"blue_can_ycb_green_rub (mgt:0.35, w:7)",3.6050282026592066,,1.4366871432254178
"color_cubes_ycb_green_rub (mgt:0.99, w:3)",18.178261706703587,,6.168694370671322
"color_cubes_ycb_green_rub (mgt:0.99, w:5)",19.14756498838726,,2.313481632031892
"color_cubes_ycb_green_rub (mgt:0.99, w:7)",18.46032029704044,,9.495141757161994
"nolid_cube_green_rub (mgt:0.39, w:3)",3.0162828846981644,6.941647090409932,2.81761269820364
"nolid_cube_green_rub (mgt:0.39, w:5)",3.4746033266970997,6.916765288302774,9.079361463847913
"nolid_cube_green_rub (mgt:0.39, w:7)",3.5994421180925875,0.5528997747521645,9.706998373332777
"nolid_cube_green_rub (mgt:0.5, w:3)",1.977365267904181,2.5192028597781535,3.8452838596544767
"nolid_cube_green_rub (mgt:0.5, w:5)",6.234877987911827,7.272939932973761,16.525776762711374
"nolid_cube_green_rub (mgt:0.5, w:7)",1.9764523757131478,2.486934787348697,19.25256691480938
"nolid_cube_green_rub (mgt:0.58, w:3)",1.8951382135090098,1.5454534480446287,15.166090413143763
"nolid_cube_green_rub (mgt:0.58, w:5)",1.9474899141412052,1.6662581343399832,15.046473302339255
"nolid_cube_green_rub (mgt:0.58, w:7)",0.9253549575805686,2.370647003776147,15.469813723313184
"nolid_cube_green_rub (mgt:0.68, w:3)",2.2962748376946727,1.866921374672335,2.151602569379302
"nolid_cube_green_rub (mgt:0.68, w:5)",3.157097665887133,1.8346344797234762,11.977927057366621
"nolid_cube_green_rub (mgt:0.68, w:7)",4.779633346356847,4.191056301719267,10.690407125573408
"nolid_cube_green_rub (mgt:0.84, w:3)",10.972168696554082,2.4584514216372826,1.1754398596914208
"nolid_cube_green_rub (mgt:0.84, w:5)",11.042072396529347,3.055758978191174,2.8051622290360285
"nolid_cube_green_rub (mgt:0.84, w:7)",10.81672292006643,3.600648955294959,1.66203022003174
"nolid_cube_green_rub (mgt:0.95, w:3)",16.366582795193317,8.238633055435981,4.954881417123893
"nolid_cube_green_rub (mgt:0.95, w:5)",16.5288297753585,9.691028845937627,4.7844309555856785
"nolid_cube_green_rub (mgt:0.95, w:7)",17.21243858337402,11.550188691992506,4.02375961604871
