domain,pinn_pcri-L1_p10c10.0 [MS10_FS0_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000]
nolid_cube_1.240_green_rub,0.25,1.24,5.7,0.04,7.3,6.67,7.35,8.49,13.36,18.29
nolid_cube_1.240_wood_rough,0.3,0.12,10.34,0.01,7.86,11.34,14.29,17.98,18.02,25.24
nolid_cube_1.240_wood_smooth,0.42,0.14,7.0,0.0,5.89,5.82,12.28,14.8,9.66,9.97
nolid_cube_1.456_green_rub,0.28,0.51,5.92,0.05,5.19,5.41,3.73,5.1,8.54,9.8
nolid_cube_1.456_wood_rough,0.41,0.09,8.16,0.01,6.12,8.35,13.0,18.5,17.32,22.24
nolid_cube_1.456_wood_smooth,0.4,0.13,7.7,0.02,4.89,11.11,9.56,15.18,11.62,12.64
nolid_cube_1.656_green_rub,0.38,1.07,5.03,0.2,3.86,6.56,6.3,7.63,11.71,18.77
nolid_cube_1.656_wood_rough,0.15,0.36,11.71,0.01,5.03,7.17,5.55,12.67,12.55,18.58
nolid_cube_1.656_wood_smooth,0.29,0.53,9.62,0.02,6.37,12.42,5.43,8.16,13.23,13.08
nolid_cube_1.856_green_rub,0.16,0.94,7.1,0.09,5.01,5.06,4.91,6.42,5.0,7.89
nolid_cube_1.856_wood_rough,0.24,0.94,10.39,0.02,8.95,8.36,14.35,18.55,13.66,22.05
nolid_cube_1.856_wood_smooth,0.27,1.04,5.63,0.01,4.18,6.97,12.29,17.46,9.02,10.63
wooden_cube_0.348_green_rub,0.97,0.31,14.33,27.92,18.45,15.52,20.03,19.46,14.68,14.32
wooden_cube_0.348_wood_rough,0.69,0.63,21.65,33.59,26.81,19.04,25.27,24.19,23.21,24.78
wooden_cube_0.348_wood_smooth,0.46,0.3,14.7,17.11,17.89,22.03,18.35,20.44,27.54,28.72
wooden_cube_0.570_green_rub,0.85,0.23,5.11,0.01,10.93,18.43,16.9,19.82,19.81,20.19
wooden_cube_0.570_wood_rough,0.49,0.26,5.42,27.53,18.78,18.12,8.12,19.3,20.69,21.38
wooden_cube_0.570_wood_smooth,0.65,0.62,19.29,27.56,20.03,22.87,18.89,20.54,28.51,29.88
