domain,pinn_annstartepo200_rampd700_pcri-L1_p5c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_annstartepo300_pcri-L1_p10c10.0_p9-2c5.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [FS10_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_FS0_Drop0.4_Epo1000],pinn_pcri-L1_p10c10.0 [MS10_Drop0.4_Epo1000],data_tcri-log1p_mse_task10.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0_p2-2c5.0 [Drop0.4_Epo1000],pinn_pcri-L1_p5c10.0 [Drop0.4_Epo1000],pinn_annstartepo300_rampd600_pcri-L1_p5c10.0 [Drop0.4_Epo1000]
blue_cylinder_0.175_green_rub,6.29,6.18,5.56,5.75,21.93,8.89,5.63,5.92,5.44,5.44
blue_cylinder_0.175_wood_rough,5.17,6.11,7.35,4.66,22.01,7.48,4.41,5.83,5.4,5.4
blue_cylinder_0.175_wood_smooth,6.54,5.98,5.56,4.43,22.74,7.88,4.75,5.96,5.49,5.49
blue_cylinder_0.376_green_rub,1.81,3.85,5.26,11.71,10.04,1.56,2.29,2.39,2.23,2.23
blue_cylinder_0.376_wood_rough,0.45,4.0,3.41,4.1,10.79,0.04,1.42,0.41,1.5,1.5
blue_cylinder_0.376_wood_smooth,1.68,5.5,2.24,4.98,10.09,1.5,1.59,0.38,0.93,0.93
colored_cubes_0.167_green_rub,5.43,6.1,6.04,5.3,16.07,8.03,5.23,6.32,5.86,5.86
colored_cubes_0.397_green_rub,5.1,6.94,4.02,8.36,2.96,0.22,7.33,0.87,0.15,0.15
colored_cubes_0.989_green_rub,0.08,0.66,0.17,0.64,2.25,13.18,18.25,18.87,19.26,19.26
colored_cubes_0.989_wood_rough,0.12,2.91,1.33,1.87,2.46,18.4,17.45,19.37,20.04,20.04
colored_cubes_0.989_wood_smooth,0.13,1.72,0.03,1.44,2.37,11.65,17.0,33.22,33.91,33.91
nolid_cube_0.390_green_rub,4.85,2.77,2.48,11.27,9.99,0.33,7.45,1.15,2.75,2.75
nolid_cube_0.390_wood_rough,16.61,11.7,34.59,10.38,9.99,1.53,1.98,3.67,3.83,3.83
nolid_cube_0.390_wood_smooth,5.24,5.9,2.69,5.74,9.6,1.92,6.72,2.08,2.08,2.08
nolid_cube_0.498_green_rub,2.73,5.39,3.22,3.64,3.63,7.8,2.45,5.09,6.2,6.2
nolid_cube_0.498_wood_rough,3.52,5.37,0.12,5.48,3.03,0.45,0.08,2.97,3.36,3.36
nolid_cube_0.498_wood_smooth,3.16,6.44,0.21,4.91,3.37,2.76,2.61,1.8,1.26,1.26
nolid_cube_0.598_green_rub,5.31,0.3,9.25,0.83,1.76,0.07,0.14,4.02,6.33,6.33
nolid_cube_0.598_wood_rough,6.99,0.06,21.97,1.03,1.54,1.13,0.2,13.37,14.77,14.77
nolid_cube_0.598_wood_smooth,8.87,0.24,6.07,0.52,1.07,12.82,0.02,12.48,14.13,14.13
nolid_cube_0.694_green_rub,0.67,3.85,11.6,2.67,3.38,2.38,2.47,6.12,4.05,4.05
nolid_cube_0.694_wood_rough,13.26,2.53,16.07,2.02,4.46,3.43,3.79,13.92,14.71,14.71
nolid_cube_0.694_wood_smooth,11.99,0.45,12.03,1.15,5.4,15.82,2.89,18.53,19.26,19.26
nolid_cube_0.798_green_rub,3.35,0.48,9.7,3.96,7.29,7.69,9.46,18.33,18.24,18.24
nolid_cube_0.798_wood_rough,3.64,1.86,9.83,0.45,1.92,9.69,7.35,20.29,22.53,22.53
nolid_cube_0.798_wood_smooth,2.32,0.79,9.88,2.15,5.57,13.27,6.65,20.82,22.71,22.71
nolid_cube_0.915_green_rub,1.87,1.19,2.73,1.63,1.14,14.29,15.69,24.5,26.93,26.93
nolid_cube_0.915_wood_rough,0.23,0.8,2.82,2.12,1.58,15.39,15.57,26.78,28.62,28.62
nolid_cube_0.915_wood_smooth,0.39,0.34,2.81,1.85,0.42,14.33,14.67,25.7,25.8,25.8
nolid_cube_1.123_green_rub,10.54,16.79,8.2,21.79,10.05,26.2,28.94,34.76,35.58,35.58
nolid_cube_1.123_wood_rough,7.37,10.11,8.7,9.58,10.33,27.29,27.84,35.31,37.32,37.32
nolid_cube_1.123_wood_smooth,7.67,10.46,9.45,9.94,10.38,26.6,24.48,37.73,40.07,40.07
nolid_cube_1.240_green_rub,14.77,18.13,11.71,24.45,17.41,26.69,33.46,39.85,41.24,41.24
nolid_cube_1.240_wood_rough,14.19,17.68,15.5,17.43,17.14,27.01,34.28,42.34,44.34,44.34
nolid_cube_1.240_wood_smooth,14.7,24.45,16.25,23.71,17.48,34.06,33.84,42.76,44.99,44.99
nolid_cube_1.456_green_rub,32.04,46.95,25.23,45.16,29.95,38.1,47.19,51.69,53.01,53.01
nolid_cube_1.456_wood_rough,27.77,32.42,28.65,37.13,30.39,46.99,46.26,53.76,55.59,55.59
nolid_cube_1.456_wood_smooth,27.55,32.46,27.41,39.09,29.89,47.07,46.84,53.79,55.52,55.52
nolid_cube_1.656_green_rub,39.34,41.96,36.33,44.64,41.8,47.61,58.51,63.3,64.31,64.31
nolid_cube_1.656_wood_rough,39.37,54.86,40.78,57.02,42.12,51.38,58.47,64.88,67.57,67.57
