domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,0.59,2.89,0.9974,0.9669,0.49,1.13
m_over,18.26,16.1,0.8164,-0.2417,1.24,5.13
mu_over,1.53,11.78,0.9879,0.8296,0.71,1.8
mu_under,1.39,12.8,0.9934,0.9883,0.47,1.16
m_over_mu_over,19.82,7.85,-1.9631,-2.4263,1.35,14.58
m_over_mu_under,18.59,24.97,-0.9889,-0.8423,1.54,1.9
