domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.06717,2.28,0.01359,3.24,0.9976,0.9541
m_over,0.94094,31.9,0.05743,13.68,0.9418,0.7165
m_under,0.06899,2.34,0.05782,13.78,-0.6748,0.5952
mu_over,0.05854,1.98,0.05463,13.02,0.9748,0.7263
mu_under,0.12233,4.15,0.05348,12.74,0.9976,0.9907
m_over_mu_over,1.44788,49.08,0.12614,30.05,0.7434,0.6641
m_under_mu_under,0.06648,2.25,0.0906,21.59,-8.1578,0.086
m_over_mu_under,0.80787,27.39,0.08933,21.28,0.929,-0.7504
m_under_mu_over,0.07363,2.5,0.17138,40.84,0.5043,0.3757
