domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_mae,fric_f_mae
m_seen_mu_seen,1.61,3.62,0.9984,0.9364,0.1075,0.1489
m_over,13.13,12.53,0.9469,-1.3295,0.1905,0.548
mu_over,2.02,13.06,0.9905,0.6837,0.1269,0.7235
mu_under,2.94,13.85,0.9955,0.9642,0.1084,0.2868
m_over_mu_over,19.1,9.34,-0.5171,-10.1105,0.3154,3.3035
m_over_mu_under,11.57,17.99,0.83,-10.7633,0.1852,0.5099
