domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,0.96,3.59,0.9978,0.9659,0.66,1.43
m_over,15.95,17.39,0.8252,-4.0252,1.1,4.54
m_under,3.81,22.26,0.7509,-0.7724,0.56,1.42
mu_over,3.11,13.58,0.9944,0.8544,0.78,1.92
mu_under,0.68,9.47,0.9852,0.966,0.58,2.15
m_over_mu_over,15.21,12.26,-2.9166,-36.3902,1.16,13.76
m_under_mu_under,3.79,9.37,-3.0089,-1.5216,0.54,1.89
m_over_mu_under,16.86,31.84,0.8854,-7.7276,1.26,2.57
m_under_mu_over,3.83,50.21,0.7392,-0.0725,0.9,1.6
