domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.02642,0.9,0.01479,3.52,0.9987,0.9827
m_over,0.73473,24.91,0.05161,12.3,0.7635,-2.9233
m_under,0.0974,3.3,0.06396,15.24,-0.447,-0.1905
mu_over,0.05018,1.7,0.05817,13.86,0.9963,0.9237
mu_under,0.06748,2.29,0.04298,10.24,0.9843,0.9824
m_over_mu_over,0.77264,26.19,0.04765,11.35,-1.6173,-604.2618
m_under_mu_under,0.0987,3.35,0.07429,17.7,-2.3435,-0.5608
m_over_mu_under,0.76052,25.78,0.08127,19.36,0.8437,-2.8626
m_under_mu_over,0.09777,3.31,0.18913,45.06,-0.3581,-0.365
m_seen_mu_seen,0.02642,0.9,0.01479,3.52,0.9987,0.9827
m_over,0.73473,24.91,0.05161,12.3,0.7635,-2.9233
m_under,0.0974,3.3,0.06396,15.24,-0.447,-0.1905
mu_over,0.05018,1.7,0.05817,13.86,0.9963,0.9237
mu_under,0.06748,2.29,0.04298,10.24,0.9843,0.9824
m_over_mu_over,0.77264,26.19,0.04765,11.35,-1.6173,-604.2618
m_under_mu_under,0.0987,3.35,0.07429,17.7,-2.3435,-0.5608
m_over_mu_under,0.76052,25.78,0.08127,19.36,0.8437,-2.8626
m_under_mu_over,0.09777,3.31,0.18913,45.06,-0.3581,-0.365
