Model,Property,$\mathcal{D}_{test}$,"{\scriptsize $\mathcal{D}_{OOD}^m$ $\cup$ $\mathcal{D}_{OOD}^{\mu}$ $\cup$ $\mathcal{D}_{OOD}^{m, \mu}$}",Overall
Only $m$ estimation,$m$,-0.040±0.063,-0.338±0.222,-0.189±0.142
,$\mu$,N/A,N/A,N/A
Only $\mu$ estimation,$m$,N/A,N/A,N/A
,$\mu$,+0.039±0.034,-0.033±0.038,+0.003±0.036
"PhyPush ($\mathcal{L}_{\text{force,un}})$",$m$,-0.005±0.056,-0.335±0.199,-0.170±0.128
,$\mu$,+0.008±0.032,-0.022±0.044,-0.007±0.038
