Model,Property,Seen,Unseen
Only $m$,$m$,10.3±5.9(+8.0),22.4±8.3(-3.1)
,$\mu$,N/A,N/A
Only $\mu$,$m$,N/A,N/A
,$\mu$,14.0±9.3(N/A),30.9±10.9(N/A)
$\mathcal{L}_{\text{acc}}$,$m$,3.4±2.2(-0.4),19.9±7.6(-8.9)
,$\mu$,13.0±8.0(-0.2),30.2±9.6(-7.3)
