Model,Mass ($\mathcal{D}_{test}$),"Mass ({\scriptsize $\mathcal{D}_{OOD}^m$ $\cup$ $\mathcal{D}_{OOD}^{\mu}$ $\cup$ $\mathcal{D}_{OOD}^{m, \mu}$})",Mass (Overall),Fric ($\mathcal{D}_{test}$),"Fric ({\scriptsize $\mathcal{D}_{OOD}^m$ $\cup$ $\mathcal{D}_{OOD}^{\mu}$ $\cup$ $\mathcal{D}_{OOD}^{m, \mu}$})",Fric (Overall)
Only $m$ estimation,0.031±0.020,0.152±0.071,0.092±0.046,N/A,N/A,N/A
Only $\mu$ estimation,N/A,N/A,N/A,0.106±0.065,0.130±0.064,0.118±0.065
PhyPush ($\mathcal{L}_{\text{force}})$,0.024±0.016,0.146±0.072,0.085±0.044,0.054±0.042,0.153±0.086,0.104±0.064
