domain,mass_mae,mass_nmae_pct,mu_mae,mu_nmae_pct,fric_r2,net_f_r2
m_seen_mu_seen,0.05791,1.96,0.01195,2.85,0.9979,0.9213
m_over,0.60634,20.55,0.04329,10.31,0.9193,0.6246
mu_over,0.05086,1.72,0.0542,12.91,0.9759,0.6877
mu_under,0.11574,3.92,0.05593,13.33,0.9936,0.9487
m_over_mu_over,1.11423,37.77,0.07523,17.93,0.6742,0.8211
m_over_mu_under,0.56179,19.04,0.06786,16.17,0.9697,-0.1171
