domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,0.67,2.55,-4.2409,-50.5443,8.88,9.18
m_over,18.61,10.22,-21.8231,0.1652,6.8,24.76
mu_over,1.3,15.45,-5.5106,-7.8193,7.51,14.02
mu_under,1.69,9.25,-4.7355,-148.7654,9.99,4.61
m_over_mu_over,18.4,11.61,-159.2963,0.2572,4.77,36.9
m_over_mu_under,19.36,11.47,-59.6259,-12.9903,9.94,13.33
