domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,2.04,4.4,0.9984,0.9122,0.68,0.56
m_over,12.8,16.71,0.9588,-1.6289,1.19,2.42
mu_over,2.26,14.2,0.9903,0.5685,0.79,2.93
mu_under,3.14,13.31,0.9935,0.9421,0.7,0.9
m_over_mu_over,18.21,11.32,0.5099,-5.1495,1.44,12.39
m_over_mu_under,12.16,25.56,0.8604,-11.4295,1.2,3.66
