domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_mae,fric_f_mae
m_seen_mu_seen,2.07,3.06,0.9974,0.9262,0.1093,0.2144
m_over,12.63,6.73,0.9582,-4.7351,0.1818,1.2034
mu_over,2.2,13.37,0.9697,0.7848,0.1331,0.8767
mu_under,3.66,12.53,0.9975,0.9627,0.1159,0.1665
m_over_mu_over,12.33,12.92,-0.7388,-0.4467,0.2372,3.611
m_over_mu_under,13.87,12.93,0.99,-0.0416,0.1985,0.1854
