domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,0.93,2.34,0.9889,0.932,0.6,0.31
m_over,16.28,11.05,0.8479,0.0779,1.3,4.33
mu_over,2.49,13.41,0.9847,0.8129,0.87,0.87
mu_under,1.19,11.81,0.9867,0.9845,0.52,0.89
m_over_mu_over,15.84,15.01,-1.1935,-0.3675,1.54,13.71
m_over_mu_under,18.21,15.98,-1.2279,-7.5675,1.22,1.08
