domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,2.47,3.18,0.9922,0.9123,0.69,0.81
m_over,15.21,10.1,0.8857,-0.6873,1.25,2.44
mu_over,2.39,15.42,0.9933,0.6728,0.79,2.96
mu_under,3.28,13.03,0.9924,0.9602,0.68,0.85
m_over_mu_over,21.63,8.69,0.6176,-0.3667,1.66,13.33
m_over_mu_under,14.29,16.8,0.1869,-6.3994,1.26,1.43
