domain,mass_nmae_pct,mu_nmae_pct,fric_r2,net_f_r2,net_f_nmae_pct,fric_f_nmae_pct
m_seen_mu_seen,1.25,3.82,0.9977,0.9215,0.68,0.6
m_over,9.91,6.03,0.9253,-9.1349,1.0,2.34
mu_over,1.58,15.66,0.9879,0.7199,0.84,2.78
mu_under,3.03,14.11,0.9949,0.98,0.69,0.81
m_over_mu_over,20.67,10.75,0.763,-9.5092,1.35,14.02
m_over_mu_under,10.21,15.32,0.3721,-11.998,1.12,2.12
